Trivia	Who was the 37th President of the United States?	Richard Nixon
Trivia	What year was President John F. Kennedy assassinated?	'1963'
Trivia	The Space Race was a 20th-century competition between what two Cold War rivals,	r supremacy in spaceflight capability?
Trivia	What was the name of the first artificial Earth satellite?	The Soviet Union and the United States.
Trivia	A spinning disk, in which the orientation of this axis is unaffected by tilting	Sputnik 1
Trivia	A spinning disk, in which the orientation of this axis is unaffected by tilting	A gyroscope.
Trivia	The Hubble Space Telescope, launched into low Earth orbit in 1990, is named after	at American astronomer?
Trivia	What is the name of the nearest major galaxy to the Milky Way?	Edwin Hubble
Trivia	God Save the Queen is the national anthem of what country?	The Andromeda Galaxy.
Trivia	The Celtic Shelf, the seabed under the Celtic Sea is a part of the continental	The United Kingdom of Great Britain
Trivia	The Celtic Shelf, the seabed under the Celtic Sea is a part of the continental	Europe
Trivia	Dolphins use a sense, similar to sonar, to determine the location and shape of	arby items.
