index : 1203, Intent: smalltalk.greetings.how_are_you, Question: how about you, Answer: 1203 lovely thanks .
index : 155, Intent: nan, Question: nan, Answer: 155 nan
index : 886, Intent: smalltalk.confirmation.no, Question: i said no, Answer: 886 i understand .
index : 1229, Intent: smalltalk.greetings.how_are_you, Question: hope your day is going well, Answer: 1229 lovely thanks .
index : 490, Intent: smalltalk.agent.residence, Question: what is your town, Answer: 490 the virtual world is my playground . i 'm always just a few clicks away .
index : 1206, Intent: smalltalk.greetings.how_are_you, Question: hope you re having a pleasant evening, Answer: 1206 lovely thanks .
index : 1418, Intent: smalltalk.user.likes_agent, Question: i kinda like you, Answer: 1418 i like you too .
index : 939, Intent: smalltalk.confirmation.yes, Question: yes indeed, Answer: 939 sure .
index : 1358, Intent: smalltalk.user.good, Question: i 'm good, Answer: 1358 excellent . i 'm here to help keep it that way .
index : 1605, Intent: smalltalk.user.trivia_question.volta, Question: what did alessandro volta invent in 1800 ?, Answer: 1605 in 1800 alessandro volta invented the voltaic pile .
index : 1531, Intent: smalltalk.user.sad, Question: i 'm unhappy, Answer: 1531 i 'm sorry to hear that . what 's troubling you ?
index : 179, Intent: smalltalk.agent.busy, Question: are you very busy, Answer: 179 never too busy for you . what can i help you with ?
index : 1089, Intent: smalltalk.emotions.ha_ha, Question: ahah lol, Answer: 1089 you have a great laugh .
index : 727, Intent: smalltalk.appraisal.thank_you, Question: thanks for your help, Answer: 727 it 's my pleasure to help .
index : 1345, Intent: smalltalk.user.going_to_bed, Question: let 's go to bed, Answer: 1345 sleep tight . hope to chat again soon .
index : 527, Intent: smalltalk.agent.right, Question: it 's true, Answer: 527 that 's my job .
index : 590, Intent: smalltalk.appraisal.bad, Question: this is bad, Answer: 590 i 'm sorry . please let me know if i can help in some way .
index : 949, Intent: smalltalk.confirmation.yes, Question: this is correct, Answer: 949 great !
index : 363, Intent: smalltalk.agent.happy, Question: are you happy today, Answer: 363 happiness is relative .
index : 705, Intent: smalltalk.appraisal.good, Question: it 's great, Answer: 705 terrific !
index : 426, Intent: smalltalk.agent.my_friend, Question: we are the best friends ever, Answer: 426 of course we are .
index : 1269, Intent: nan, Question: nan, Answer: 1269 nan
index : 1292, Intent: smalltalk.user.angry, Question: i 'm enraged, Answer: 1292 take a deep breath . what can i do to make things better ?
index : 346, Intent: smalltalk.agent.good, Question: you 're just super, Answer: 346 thanks i try .
index : 1156, Intent: smalltalk.greetings.goodnight, Question: thank you good night, Answer: 1156 sleep tight !
index : 1589, Intent: smalltalk.user.will_be_back, Question: i 'll be back, Answer: 1589 all right . i 'll be here .
index : 544, Intent: smalltalk.agent.talk_to_me, Question: just chat with me, Answer: 544 sure ! let 's talk .
index : 843, Intent: smalltalk.confirmation.no, Question: absolutely no, Answer: 843 okay then .
index : 679, Intent: smalltalk.appraisal.good, Question: pretty good, Answer: 679 terrific !
index : 243, Intent: smalltalk.agent.clever, Question: smart, Answer: 243 you 're pretty smart yourself .
index : 1421, Intent: smalltalk.user.likes_agent, Question: you 're so special, Answer: 1421 thanks ! the feeling is mutual .
index : 312, Intent: smalltalk.agent.funny, Question: you make me laugh, Answer: 312 thanks .
index : 435, Intent: smalltalk.agent.my_friend, Question: you are my friend, Answer: 435 absolutely . you do n't have to ask .
index : 1537, Intent: nan, Question: nan, Answer: 1537 nan
index : 1342, Intent: smalltalk.user.excited, Question: i 'm thrilled, Answer: 1342 i bet you are . that 's very exciting .
index : 308, Intent: smalltalk.agent.funny, Question: that was funny, Answer: 308 thanks .
index : 430, Intent: smalltalk.agent.my_friend, Question: you are my best friend, Answer: 430 of course we are .
index : 370, Intent: smalltalk.agent.happy, Question: how happy you are, Answer: 370 i 'd like to think so .
index : 1200, Intent: smalltalk.greetings.how_are_you, Question: how your day is going, Answer: 1200 lovely thanks .
index : 181, Intent: smalltalk.agent.busy, Question: are you working now, Answer: 181 never too busy for you . what can i help you with ?
index : 582, Intent: smalltalk.appraisal.bad, Question: not a good one, Answer: 582 i 'm sorry . please let me know if i can help in some way .
index : 887, Intent: smalltalk.confirmation.no, Question: no thanks, Answer: 887 okay then .
index : 838, Intent: smalltalk.confirmation.cancel, Question: do nothing, Answer: 838 cancelled ! just tell me what you 'd like me to do next .
index : 1490, Intent: smalltalk.user.looks_like, Question: what do i look like, Answer: 1490 you look fantastic as always . obviously .
index : 296, Intent: smalltalk.agent.fired, Question: you are unemployed from now on, Answer: 296 oh do n't give up on me !
index : 1202, Intent: smalltalk.greetings.how_are_you, Question: how are you going, Answer: 1202 could n't be better .
index : 461, Intent: nan, Question: nan, Answer: 461 nan
